,facility,city,Code,website,href
33,casa,bogota,835-13429,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-mayapan-las-vegas-5-habitaciones-5-banos-2-garajes/835-13429
34,casa,bogota,835-13488,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-tejares-cristales-4-habitaciones-5-banos-2-garajes/835-13488
35,casa,bogota,835-M3564308,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-eucaristico-4-habitaciones-3-banos-1-garajes/835-M3564308
36,casa,bogota,548-821,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-rio-lili-4-habitaciones-4-banos-2-garajes/548-821
37,casa,bogota,835-12592,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-5-habitaciones-4-banos-1-garajes/835-12592
38,casa,bogota,840-1991,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-jorge-isaacs-5-habitaciones-4-banos/840-1991
39,casa,bogota,835-12644,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-san-fernando-nuevo-5-habitaciones-3-banos/835-12644
40,casa,bogota,5383-456,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-santa-teresita-4-habitaciones-5-banos/5383-456
41,casa,bogota,14237-M3707369,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-5-habitaciones-5-banos-4-garajes/14237-M3707369
42,casa,bogota,835-M3820530,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/835-M3820530
43,casa,bogota,835-M3391700,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-3-habitaciones-4-banos-2-garajes/835-M3391700
44,casa,bogota,9947-M3746700,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/9947-M3746700
45,casa,bogota,14237-M3368419,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelacion-cerros-la-buitrera-4-habitaciones-5-banos-4-garajes/14237-M3368419
46,casa,bogota,835-M3808309,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-lili-3-habitaciones-3-banos-1-garajes/835-M3808309
47,casa,bogota,3406-3668,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-condominio-rivera-campestre-4-habitaciones-5-banos-4-garajes/3406-3668
48,casa,bogota,9947-M3742361,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-4-banos-4-garajes/9947-M3742361
49,casa,bogota,14237-M3368382,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-riverita-5-habitaciones-5-banos/14237-M3368382
50,casa,bogota,835-M3819120,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-mayapan-las-vegas-4-habitaciones-4-banos-2-garajes/835-M3819120
51,casa,bogota,14237-M3373145,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-bellavista-4-habitaciones-5-banos-3-garajes/14237-M3373145
52,casa,bogota,14237-M3373159,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-urbanizacion-ciudad-jardin-5-habitaciones-5-banos-4-garajes/14237-M3373159
53,casa,bogota,3406-M3392001,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelacion-cerros-la-buitrera-5-habitaciones-5-banos-4-garajes/3406-M3392001
54,casa,bogota,835-M3675507,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/835-M3675507
55,casa,bogota,9947-M3293259,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/9947-M3293259
56,casa,bogota,9947-M3812025,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/9947-M3812025
57,casa,bogota,9947-M3606980,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/9947-M3606980
58,casa,bogota,277-M3016506,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-5-banos-4-garajes/277-M3016506
59,casa,bogota,10159-M3743752,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/10159-M3743752
60,casa,bogota,10159-M3820646,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-3-habitaciones-5-banos-2-garajes/10159-M3820646
61,casa,bogota,4915-M3813455,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-sector-la-luisa-bella-suiza-4-habitaciones-5-banos-2-garajes/4915-M3813455
62,casa,bogota,277-M3819865,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-3-habitaciones-5-banos-4-garajes/277-M3819865
63,casa,bogota,4915-3774259,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-villacolombia-4-habitaciones-5-banos-3-garajes/4915-3774259
64,casa,bogota,14055-M3248899,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-5-habitaciones-5-banos-4-garajes/14055-M3248899
65,casa,bogota,835-M3396843,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-lili-4-habitaciones-3-banos-1-garajes/835-M3396843
66,casa,bogota,9947-M3746632,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-el-ingenio-5-habitaciones-5-banos-3-garajes/9947-M3746632
67,casa,bogota,835-M3739594,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-5-banos-4-garajes/835-M3739594
68,casa,bogota,9947-M3606954,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-5-habitaciones-4-banos-4-garajes/9947-M3606954
69,casa,bogota,277-M3016920,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-4-habitaciones-5-banos-4-garajes/277-M3016920
70,casa,bogota,277-M3738334,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-pance-3-habitaciones-5-banos-3-garajes/277-M3738334
71,casa,bogota,835-M3818907,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-independencia-5-habitaciones-5-banos-1-garajes/835-M3818907
72,casa,bogota,14237-M3689375,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-bella-suiza-alta-5-habitaciones-5-banos-2-garajes/14237-M3689375
73,casa,bogota,277-M3016652,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-3-habitaciones-5-banos-4-garajes/277-M3016652
74,casa,bogota,14237-M3373143,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-parcelaciones-pance-4-habitaciones-4-banos-2-garajes/14237-M3373143
75,casa,bogota,277-M3221667,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-la-hacienda-4-habitaciones-5-banos-3-garajes/277-M3221667
76,casa,bogota,14237-M3373158,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-centenario-5-habitaciones-5-banos-3-garajes/14237-M3373158
77,casa,bogota,835-M3626441,https://www.metrocuadrado.com,https://www.metrocuadrado.com/inmueble/venta-casa-cali-ciudad-real-4-habitaciones-3-banos-2-garajes/835-M3626441
